===============================================================================
Id,NZD_USD,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,CDLENGULFING,len,integer,_candleplot,CDLEVENINGSTAR,len,integer,_candleplot,CDLHAMMER,len,integer,_candleplot,CDLMORNINGSTAR,len,integer,_candleplot,CDLSHOOTINGSTAR,len,integer,_candleplot,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
26,NZD_USD,26,2017-01-09 02:00:00,0.69704,0.69728,0.69492,0.69544,2943.0,,MyStrategy,26,736338.0833333334,CDLENGULFING,26,0.0,0.0,CDLEVENINGSTAR,26,0.0,0.0,CDLHAMMER,26,0.0,0.0,CDLMORNINGSTAR,26,0.0,0.0,CDLSHOOTINGSTAR,26,0.0,0.0,Broker,26,100000.0,100000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,NZD_USD,27,2017-01-09 06:00:00,0.6954,0.69785,0.69494,0.69648,4732.0,,MyStrategy,27,736338.25,CDLENGULFING,27,0.0,0.0,CDLEVENINGSTAR,27,0.0,0.0,CDLHAMMER,27,0.0,0.0,CDLMORNINGSTAR,27,0.0,0.0,CDLSHOOTINGSTAR,27,0.0,0.0,Broker,27,100000.0,100000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,NZD_USD,28,2017-01-09 10:00:00,0.69648,0.69943,0.69593,0.69904,5132.0,,MyStrategy,28,736338.4166666666,CDLENGULFING,28,0.0,0.0,CDLEVENINGSTAR,28,0.0,0.0,CDLHAMMER,28,0.0,0.0,CDLMORNINGSTAR,28,0.0,0.0,CDLSHOOTINGSTAR,28,0.0,0.0,Broker,28,100000.0,100000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,NZD_USD,29,2017-01-09 14:00:00,0.69904,0.70325,0.69898,0.70315,7062.0,,MyStrategy,29,736338.5833333334,CDLENGULFING,29,0.0,0.0,CDLEVENINGSTAR,29,0.0,0.0,CDLHAMMER,29,0.0,0.0,CDLMORNINGSTAR,29,0.0,0.0,CDLSHOOTINGSTAR,29,0.0,0.0,Broker,29,100000.0,100000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,NZD_USD,30,2017-01-09 18:00:00,0.70314,0.70325,0.70116,0.7015600000000001,2069.0,,MyStrategy,30,736338.75,CDLENGULFING,30,0.0,0.0,CDLEVENINGSTAR,30,0.0,0.0,CDLHAMMER,30,0.0,0.0,CDLMORNINGSTAR,30,0.0,0.0,CDLSHOOTINGSTAR,30,0.0,0.0,Broker,30,100000.0,100000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,NZD_USD,31,2017-01-09 22:00:00,0.70175,0.7024699999999999,0.70068,0.70114,6511.0,,MyStrategy,31,736338.9166666666,CDLENGULFING,31,0.0,0.0,CDLEVENINGSTAR,31,0.0,0.0,CDLHAMMER,31,0.0,0.0,CDLMORNINGSTAR,31,0.0,0.0,CDLSHOOTINGSTAR,31,0.0,0.0,Broker,31,100000.0,100000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,NZD_USD,32,2017-01-10 02:00:00,0.70118,0.7048,0.70076,0.70292,8977.0,,MyStrategy,32,736339.0833333334,CDLENGULFING,32,0.0,0.0,CDLEVENINGSTAR,32,0.0,0.0,CDLHAMMER,32,0.0,0.0,CDLMORNINGSTAR,32,0.0,0.0,CDLSHOOTINGSTAR,32,0.0,0.0,Broker,32,100000.0,100000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,NZD_USD,33,2017-01-10 06:00:00,0.70292,0.7037,0.69935,0.69987,6204.0,,MyStrategy,33,736339.25,CDLENGULFING,33,0.0,0.0,CDLEVENINGSTAR,33,0.0,0.0,CDLHAMMER,33,0.0,0.0,CDLMORNINGSTAR,33,0.0,0.0,CDLSHOOTINGSTAR,33,0.0,0.0,Broker,33,100000.0,100000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,NZD_USD,34,2017-01-10 10:00:00,0.69989,0.70072,0.69587,0.69782,4771.0,,MyStrategy,34,736339.4166666666,CDLENGULFING,34,0.0,0.0,CDLEVENINGSTAR,34,0.0,0.0,CDLHAMMER,34,0.0,0.0,CDLMORNINGSTAR,34,0.0,0.0,CDLSHOOTINGSTAR,34,0.0,0.0,Broker,34,100000.0,100000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,NZD_USD,35,2017-01-10 14:00:00,0.69782,0.70096,0.69728,0.69884,7987.0,,MyStrategy,35,736339.5833333334,CDLENGULFING,35,0.0,0.0,CDLEVENINGSTAR,35,0.0,0.0,CDLHAMMER,35,0.0,0.0,CDLMORNINGSTAR,35,0.0,0.0,CDLSHOOTINGSTAR,35,0.0,0.0,Broker,35,100000.0,100000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,NZD_USD,36,2017-01-10 18:00:00,0.6987800000000001,0.6996399999999999,0.69812,0.69899,2387.0,,MyStrategy,36,736339.75,CDLENGULFING,36,0.0,0.0,CDLEVENINGSTAR,36,0.0,0.0,CDLHAMMER,36,0.0,0.0,CDLMORNINGSTAR,36,0.0,0.0,CDLSHOOTINGSTAR,36,0.0,0.0,Broker,36,100000.0,100000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,NZD_USD,37,2017-01-10 22:00:00,0.69911,0.69949,0.6971,0.69844,3693.0,,MyStrategy,37,736339.9166666666,CDLENGULFING,37,-100.0,-0.7134798,CDLEVENINGSTAR,37,0.0,0.0,CDLHAMMER,37,0.0,0.0,CDLMORNINGSTAR,37,0.0,0.0,CDLSHOOTINGSTAR,37,0.0,0.0,Broker,37,100000.0,100000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,NZD_USD,38,2017-01-11 02:00:00,0.69844,0.70017,0.69777,0.69965,4698.0,,MyStrategy,38,736340.0833333334,CDLENGULFING,38,0.0,0.0,CDLEVENINGSTAR,38,0.0,0.0,CDLHAMMER,38,0.0,0.0,CDLMORNINGSTAR,38,0.0,0.0,CDLSHOOTINGSTAR,38,0.0,0.0,Broker,38,100000.0,100000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,NZD_USD,39,2017-01-11 06:00:00,0.6996899999999999,0.70224,0.6992,0.70085,5091.0,,MyStrategy,39,736340.25,CDLENGULFING,39,0.0,0.0,CDLEVENINGSTAR,39,0.0,0.0,CDLHAMMER,39,0.0,0.0,CDLMORNINGSTAR,39,0.0,0.0,CDLSHOOTINGSTAR,39,0.0,0.0,Broker,39,100000.0,100000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,NZD_USD,40,2017-01-11 10:00:00,0.70084,0.7008800000000001,0.6986600000000001,0.69995,4649.0,,MyStrategy,40,736340.4166666666,CDLENGULFING,40,0.0,0.0,CDLEVENINGSTAR,40,0.0,0.0,CDLHAMMER,40,0.0,0.0,CDLMORNINGSTAR,40,0.0,0.0,CDLSHOOTINGSTAR,40,0.0,0.0,Broker,40,100000.0,100000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,NZD_USD,41,2017-01-11 14:00:00,0.69995,0.70498,0.69612,0.70404,23511.0,,MyStrategy,41,736340.5833333334,CDLENGULFING,41,0.0,0.0,CDLEVENINGSTAR,41,0.0,0.0,CDLHAMMER,41,0.0,0.0,CDLMORNINGSTAR,41,0.0,0.0,CDLSHOOTINGSTAR,41,0.0,0.0,Broker,41,100000.0,100000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,NZD_USD,42,2017-01-11 18:00:00,0.70396,0.70881,0.7038800000000001,0.70554,14832.0,,MyStrategy,42,736340.75,CDLENGULFING,42,0.0,0.0,CDLEVENINGSTAR,42,0.0,0.0,CDLHAMMER,42,0.0,0.0,CDLMORNINGSTAR,42,0.0,0.0,CDLSHOOTINGSTAR,42,0.0,0.0,Broker,42,100000.0,100000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,NZD_USD,43,2017-01-11 22:00:00,0.7057399999999999,0.70718,0.70463,0.70585,7050.0,,MyStrategy,43,736340.9166666666,CDLENGULFING,43,0.0,0.0,CDLEVENINGSTAR,43,0.0,0.0,CDLHAMMER,43,0.0,0.0,CDLMORNINGSTAR,43,0.0,0.0,CDLSHOOTINGSTAR,43,0.0,0.0,Broker,43,100000.0,100000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,NZD_USD,44,2017-01-12 02:00:00,0.7058,0.70825,0.70572,0.70813,6450.0,,MyStrategy,44,736341.0833333334,CDLENGULFING,44,0.0,0.0,CDLEVENINGSTAR,44,0.0,0.0,CDLHAMMER,44,0.0,0.0,CDLMORNINGSTAR,44,0.0,0.0,CDLSHOOTINGSTAR,44,0.0,0.0,Broker,44,100000.0,100000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,NZD_USD,45,2017-01-12 06:00:00,0.70812,0.71336,0.7073699999999999,0.71235,8333.0,,MyStrategy,45,736341.25,CDLENGULFING,45,0.0,0.0,CDLEVENINGSTAR,45,0.0,0.0,CDLHAMMER,45,0.0,0.0,CDLMORNINGSTAR,45,0.0,0.0,CDLSHOOTINGSTAR,45,0.0,0.0,Broker,45,100000.0,100000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,NZD_USD,46,2017-01-12 10:00:00,0.7124,0.7129300000000001,0.7108399999999999,0.7116399999999999,6378.0,,MyStrategy,46,736341.4166666666,CDLENGULFING,46,0.0,0.0,CDLEVENINGSTAR,46,0.0,0.0,CDLHAMMER,46,0.0,0.0,CDLMORNINGSTAR,46,0.0,0.0,CDLSHOOTINGSTAR,46,0.0,0.0,Broker,46,100000.0,100000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,NZD_USD,47,2017-01-12 14:00:00,0.71168,0.71446,0.71117,0.7135100000000001,8113.0,,MyStrategy,47,736341.5833333334,CDLENGULFING,47,0.0,0.0,CDLEVENINGSTAR,47,0.0,0.0,CDLHAMMER,47,0.0,0.0,CDLMORNINGSTAR,47,0.0,0.0,CDLSHOOTINGSTAR,47,0.0,0.0,Broker,47,100000.0,100000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,NZD_USD,48,2017-01-12 18:00:00,0.7135199999999999,0.71362,0.71,0.71,3573.0,,MyStrategy,48,736341.75,CDLENGULFING,48,-100.0,-0.7278924,CDLEVENINGSTAR,48,0.0,0.0,CDLHAMMER,48,0.0,0.0,CDLMORNINGSTAR,48,0.0,0.0,CDLSHOOTINGSTAR,48,0.0,0.0,Broker,48,100000.0,100000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,NZD_USD,49,2017-01-12 22:00:00,0.7093,0.71228,0.7087600000000001,0.7119,6585.0,,MyStrategy,49,736341.9166666666,CDLENGULFING,49,0.0,0.0,CDLEVENINGSTAR,49,0.0,0.0,CDLHAMMER,49,0.0,0.0,CDLMORNINGSTAR,49,0.0,0.0,CDLSHOOTINGSTAR,49,0.0,0.0,Broker,49,100000.0,100000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,NZD_USD,50,2017-01-13 02:00:00,0.71186,0.71237,0.71014,0.71049,4604.0,,MyStrategy,50,736342.0833333334,CDLENGULFING,50,0.0,0.0,CDLEVENINGSTAR,50,0.0,0.0,CDLHAMMER,50,0.0,0.0,CDLMORNINGSTAR,50,0.0,0.0,CDLSHOOTINGSTAR,50,0.0,0.0,Broker,50,100000.0,100000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,NZD_USD,51,2017-01-13 06:00:00,0.71048,0.71316,0.71039,0.71192,5717.0,,MyStrategy,51,736342.25,CDLENGULFING,51,100.0,0.7274232,CDLEVENINGSTAR,51,0.0,0.0,CDLHAMMER,51,0.0,0.0,CDLMORNINGSTAR,51,0.0,0.0,CDLSHOOTINGSTAR,51,0.0,0.0,Broker,51,100000.0,100000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,NZD_USD,52,2017-01-13 10:00:00,0.71192,0.71432,0.71023,0.71096,7641.0,,MyStrategy,52,736342.4166666666,CDLENGULFING,52,0.0,0.0,CDLEVENINGSTAR,52,0.0,0.0,CDLHAMMER,52,0.0,0.0,CDLMORNINGSTAR,52,0.0,0.0,CDLSHOOTINGSTAR,52,0.0,0.0,Broker,52,100000.0,100000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,NZD_USD,53,2017-01-13 14:00:00,0.7109800000000001,0.71213,0.70713,0.7111,12570.0,,MyStrategy,53,736342.5833333334,CDLENGULFING,53,0.0,0.0,CDLEVENINGSTAR,53,0.0,0.0,CDLHAMMER,53,0.0,0.0,CDLMORNINGSTAR,53,0.0,0.0,CDLSHOOTINGSTAR,53,0.0,0.0,Broker,53,100000.0,100000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
